Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-PASCO2
2021.01.28;00:40:16;20,6;36,5;6,5;604
2021.01.28;00:40:34;20,6;36,3;6,5;605
2021.01.28;00:40:53;20,6;36,3;6,5;614
2021.01.28;00:41:11;20,6;36,6;6,6;603
2021.01.28;00:41:39;20,6;36,5;6,5;599
2021.01.28;00:41:57;20,6;36,2;6,5;601
2021.01.28;00:42:15;20,6;35,3;6,3;596
2021.01.28;00:42:34;20,6;36,2;6,5;604
2021.01.28;00:43:02;20,6;36,5;6,5;599
2021.01.28;00:43:20;20,6;35,9;6,4;598
2021.01.28;00:43:38;20,5;36,2;6,4;602
2021.01.28;00:43:56;20,6;36,4;6,5;594
2021.01.28;00:44:24;20,6;36,4;6,5;632
2021.01.28;00:44:43;20,5;36,4;6,5;598
2021.01.28;00:45:01;20,6;36,3;6,5;595
2021.01.28;00:45:19;20,6;35,9;6,4;591
2021.01.28;00:45:47;20,5;36,4;6,5;631
2021.01.28;00:46:06;20,5;36,2;6,4;590
2021.01.28;00:46:24;20,6;36,2;6,5;593
2021.01.28;00:46:42;20,5;36,3;6,5;594
2021.01.28;00:47:10;20,5;36,4;6,5;597
2021.01.28;00:47:28;20,5;36,3;6,5;594
2021.01.28;00:47:47;20,5;36,2;6,4;595
2021.01.28;00:48:05;20,5;36,2;6,4;586
2021.01.28;00:48:33;20,5;36,4;6,5;581
2021.01.28;00:48:51;20,5;36,3;6,5;591
2021.01.28;00:49:10;20,5;36,1;6,4;621
2021.01.28;00:49:28;20,5;36,2;6,4;582
2021.01.28;00:49:56;20,5;36,4;6,5;578
2021.01.28;00:50:14;20,5;36,3;6,5;584
2021.01.28;00:50:32;20,5;36,1;6,4;589
2021.01.28;00:50:51;20,5;36,1;6,4;593
2021.01.28;00:51:19;20,5;36,3;6,5;594
2021.01.28;00:51:37;20,5;36,2;6,4;587
2021.01.28;00:51:55;20,5;36,1;6,4;587
2021.01.28;00:52:14;20,5;36,2;6,4;586
2021.01.28;00:52:42;20,5;36,4;6,5;581
2021.01.28;00:53:00;20,5;36,2;6,4;592
2021.01.28;00:53:18;20,5;36,1;6,4;579
2021.01.28;00:53:36;20,5;36,3;6,5;591
2021.01.28;00:54:04;20,5;36,3;6,5;587
2021.01.28;00:54:23;20,5;36,3;6,5;586
2021.01.28;00:54:41;20,5;36,2;6,4;573
2021.01.28;00:54:59;20,5;36,3;6,5;578
2021.01.28;00:55:27;20,5;36,4;6,5;578
2021.01.28;00:55:45;20,5;36,1;6,4;583
2021.01.28;00:56:04;20,5;36,5;6,5;579
2021.01.28;00:56:22;20,5;36,2;6,4;582
2021.01.28;00:56:50;20,5;36,5;6,5;575
2021.01.28;00:57:08;20,5;36,2;6,4;574
2021.01.28;00:57:27;20,5;36,1;6,4;573
2021.01.28;00:57:45;20,5;36,2;6,4;576
2021.01.28;00:58:13;20,5;36,4;6,5;569
2021.01.28;00:58:31;20,5;36,3;6,5;577
2021.01.28;00:58:49;20,5;36,1;6,4;574
2021.01.28;00:59:08;20,5;36,2;6,4;580
2021.01.28;00:59:36;20,5;36,4;6,5;566
2021.01.28;00:59:54;20,5;36,4;6,5;584
2021.01.28;01:00:12;20,5;36,3;6,5;575
2021.01.28;01:00:31;20,5;36,2;6,4;577
2021.01.28;01:00:58;20,5;36,5;6,5;567
2021.01.28;01:01:17;20,5;36,3;6,5;570
2021.01.28;01:01:35;20,5;36,4;6,5;578
2021.01.28;01:01:53;20,5;36,1;6,4;576
2021.01.28;01:02:21;20,5;36,5;6,5;583
2021.01.28;01:02:40;20,4;36,3;6,4;576
2021.01.28;01:02:58;20,5;36,2;6,4;580
2021.01.28;01:03:16;20,5;36,2;6,4;573
2021.01.28;01:03:44;20,5;36,6;6,5;575
2021.01.28;01:04:02;20,4;36,5;6,5;571
2021.01.28;01:04:21;20,5;36,3;6,5;574
2021.01.28;01:04:39;20,5;36,3;6,5;567
2021.01.28;01:05:07;20,5;36,6;6,5;575
2021.01.28;01:05:25;20,4;36,3;6,4;572
2021.01.28;01:05:44;20,5;36,2;6,4;569
2021.01.28;01:06:02;20,5;36,3;6,5;569
2021.01.28;01:06:30;20,5;36,5;6,5;563
2021.01.28;01:06:48;20,4;36,4;6,4;565
2021.01.28;01:07:06;20,4;36,2;6,4;573
2021.01.28;01:07:25;20,4;36,4;6,4;564
2021.01.28;01:07:53;20,5;35,3;6,3;573
2021.01.28;01:08:11;20,4;36,2;6,4;570
2021.01.28;01:08:29;20,5;36,2;6,4;568
2021.01.28;01:08:48;20,5;36,1;6,4;556
2021.01.28;01:09:15;20,4;36,5;6,5;552
2021.01.28;01:09:34;20,5;36,6;6,5;558
2021.01.28;01:09:52;20,5;36,3;6,5;604
2021.01.28;01:10:10;20,5;36,2;6,4;566
2021.01.28;01:10:38;20,5;36,5;6,5;558
2021.01.28;01:10:57;20,5;36,4;6,5;567
2021.01.28;01:11:15;20,4;36,2;6,4;565
2021.01.28;01:11:33;20,5;36,2;6,4;568
2021.01.28;01:12:01;20,5;36,4;6,5;560
2021.01.28;01:12:19;20,4;35,8;6,3;563
2021.01.28;01:12:38;20,5;36,2;6,4;556
2021.01.28;01:12:56;20,5;35,2;6,3;561
2021.01.28;01:13:24;20,5;36,5;6,5;603
2021.01.28;01:13:42;20,4;36,3;6,4;558
2021.01.28;01:14:01;20,4;36,2;6,4;558
2021.01.28;01:14:19;20,5;36,5;6,5;563
2021.01.28;01:14:47;20,5;36,5;6,5;563
2021.01.28;01:15:05;20,5;36,3;6,5;555
2021.01.28;01:15:23;20,4;36,2;6,4;554
2021.01.28;01:15:42;20,4;36,2;6,4;559
2021.01.28;01:16:10;20,4;36,4;6,4;555
2021.01.28;01:16:28;20,4;36,3;6,4;556
2021.01.28;01:16:46;20,5;36,4;6,5;560
2021.01.28;01:17:05;20,4;36,2;6,4;551
2021.01.28;01:17:33;20,5;36,4;6,5;556
2021.01.28;01:17:51;20,4;36,3;6,4;562
2021.01.28;01:18:09;20,4;36,4;6,4;569
2021.01.28;01:18:28;20,4;36,2;6,4;562
2021.01.28;01:18:56;20,4;36,5;6,5;588
2021.01.28;01:19:14;20,4;36,2;6,4;553
2021.01.28;01:19:32;20,4;36,2;6,4;560
2021.01.28;01:19:51;20,4;36,2;6,4;555
2021.01.28;01:20:19;20,4;35,6;6,3;557
2021.01.28;01:20:37;20,4;36,3;6,4;590
2021.01.28;01:20:55;20,4;36,2;6,4;594
2021.01.28;01:21:14;20,4;36,2;6,4;590
2021.01.28;01:21:41;20,4;36,4;6,4;549
2021.01.28;01:22:00;20,4;36,3;6,4;553
2021.01.28;01:22:18;20,4;36,1;6,4;548
2021.01.28;01:22:36;20,4;36,6;6,5;554
2021.01.28;01:23:04;20,4;36,5;6,5;552
2021.01.28;01:23:23;20,4;36,4;6,4;547
2021.01.28;01:23:41;20,4;36,6;6,5;563
2021.01.28;01:23:59;20,4;36,2;6,4;556
2021.01.28;01:24:27;20,4;36,5;6,5;551
2021.01.28;01:24:45;20,4;36,3;6,4;550
2021.01.28;01:25:04;20,4;36,2;6,4;556
2021.01.28;01:25:22;20,4;36,2;6,4;546
2021.01.28;01:25:50;20,4;36,3;6,4;550
2021.01.28;01:26:08;20,4;36,3;6,4;556
2021.01.28;01:26:27;20,4;35,2;6,2;545
2021.01.28;01:26:45;20,4;36,1;6,4;554
2021.01.28;01:27:13;20,4;36,3;6,4;548
2021.01.28;01:27:31;20,4;36,1;6,4;552
2021.01.28;01:27:49;20,4;36,0;6,4;547
2021.01.28;01:28:08;20,4;36,0;6,4;547
2021.01.28;01:28:36;20,4;36,4;6,4;555
2021.01.28;01:28:54;20,4;36,1;6,4;549
2021.01.28;01:29:12;20,4;36,1;6,4;546
2021.01.28;01:29:30;20,4;36,1;6,4;549
2021.01.28;01:29:58;20,4;36,4;6,4;550
2021.01.28;01:30:17;20,4;36,3;6,4;556
2021.01.28;01:30:35;20,4;36,1;6,4;547
2021.01.28;01:30:53;20,4;36,1;6,4;549
2021.01.28;01:31:21;20,4;36,4;6,4;554
2021.01.28;01:31:40;20,4;36,1;6,4;545
2021.01.28;01:31:58;20,4;36,0;6,4;544
2021.01.28;01:32:16;20,4;36,1;6,4;543
2021.01.28;01:32:44;20,4;35,1;6,2;542
2021.01.28;01:33:02;20,4;36,2;6,4;538
2021.01.28;01:33:21;20,4;36,0;6,4;541
2021.01.28;01:33:39;20,4;35,1;6,2;539
2021.01.28;01:34:07;20,4;36,1;6,4;539
2021.01.28;01:34:25;20,4;36,2;6,4;538
2021.01.28;01:34:43;20,4;36,1;6,4;537
2021.01.28;01:35:02;20,4;36,1;6,4;544
2021.01.28;01:35:30;20,4;36,4;6,4;545
2021.01.28;01:35:48;20,4;36,3;6,4;549
2021.01.28;01:36:06;20,4;36,3;6,4;537
2021.01.28;01:36:25;20,4;36,1;6,4;547
2021.01.28;01:36:53;20,4;36,4;6,4;548
2021.01.28;01:37:11;20,4;36,2;6,4;539
2021.01.28;01:37:29;20,4;36,3;6,4;535
2021.01.28;01:37:47;20,4;36,1;6,4;544
2021.01.28;01:38:15;20,4;36,3;6,4;538
2021.01.28;01:38:34;20,4;36,0;6,4;534
2021.01.28;01:38:52;20,4;36,1;6,4;539
2021.01.28;01:39:10;20,4;36,0;6,4;549
2021.01.28;01:39:38;20,4;36,1;6,4;536
2021.01.28;01:39:56;20,4;36,1;6,4;534
2021.01.28;01:40:15;20,4;36,1;6,4;537
2021.01.28;01:40:33;20,4;35,9;6,4;537
2021.01.28;01:41:01;20,4;36,3;6,4;530
2021.01.28;01:41:19;20,4;35,7;6,3;538
2021.01.28;01:41:38;20,4;36,1;6,4;543
2021.01.28;01:41:56;20,4;36,2;6,4;543
2021.01.28;01:42:24;20,4;36,3;6,4;534
2021.01.28;01:42:42;20,4;36,1;6,4;535
2021.01.28;01:43:00;20,4;36,1;6,4;531
2021.01.28;01:43:19;20,4;36,1;6,4;534
2021.01.28;01:43:47;20,4;36,4;6,4;539
2021.01.28;01:44:05;20,4;36,2;6,4;533
2021.01.28;01:44:23;20,4;36,1;6,4;528
2021.01.28;01:44:42;20,4;36,1;6,4;539
2021.01.28;01:45:10;20,4;36,3;6,4;534
2021.01.28;01:45:28;20,3;36,0;6,3;531
2021.01.28;01:45:46;20,3;36,2;6,4;543
2021.01.28;01:46:04;20,3;36,2;6,4;532
2021.01.28;01:46:32;20,4;36,3;6,4;534
2021.01.28;01:46:51;20,3;36,3;6,4;545
2021.01.28;01:47:09;20,4;36,1;6,4;530
2021.01.28;01:47:27;20,3;36,0;6,3;534
2021.01.28;01:47:55;20,3;36,2;6,4;529
2021.01.28;01:48:14;20,3;36,0;6,3;535
2021.01.28;01:48:32;20,4;36,1;6,4;542
2021.01.28;01:48:50;20,4;36,1;6,4;544
2021.01.28;01:49:18;20,4;36,4;6,4;521
2021.01.28;01:49:36;20,3;36,1;6,3;531
2021.01.28;01:49:55;20,3;36,0;6,3;528
2021.01.28;01:50:13;20,4;36,1;6,4;532
2021.01.28;01:50:41;20,4;36,3;6,4;531
2021.01.28;01:50:59;20,4;36,2;6,4;532
2021.01.28;01:51:17;20,4;36,1;6,4;520
2021.01.28;01:51:36;20,4;36,1;6,4;526
2021.01.28;01:52:04;20,4;36,4;6,4;527
2021.01.28;01:52:22;20,3;36,1;6,3;530
2021.01.28;01:52:40;20,4;36,3;6,4;534
2021.01.28;01:52:59;20,3;35,1;6,2;527
2021.01.28;01:53:27;20,3;36,2;6,4;531
2021.01.28;01:53:45;20,3;36,1;6,3;534
2021.01.28;01:54:03;20,3;36,2;6,4;539
2021.01.28;01:54:21;20,3;36,0;6,3;541
2021.01.28;01:54:49;20,3;36,3;6,4;526
2021.01.28;01:55:08;20,3;36,2;6,4;529
2021.01.28;01:55:26;20,3;36,2;6,4;522
2021.01.28;01:55:44;20,3;36,1;6,3;527
2021.01.28;01:56:12;20,4;36,3;6,4;525
2021.01.28;01:56:30;20,3;36,2;6,4;533
2021.01.28;01:56:49;20,3;36,2;6,4;526
2021.01.28;01:57:07;20,3;36,0;6,3;525
2021.01.28;01:57:35;20,3;36,4;6,4;527
2021.01.28;01:57:53;20,3;36,1;6,3;528
2021.01.28;01:58:12;20,4;36,1;6,4;523
2021.01.28;01:58:30;20,4;36,0;6,4;533
2021.01.28;01:58:58;20,3;36,3;6,4;530
2021.01.28;01:59:16;20,3;36,2;6,4;540
2021.01.28;01:59:34;20,3;36,2;6,4;523
2021.01.28;01:59:53;20,4;36,1;6,4;527
2021.01.28;02:00:21;20,3;36,1;6,3;525
2021.01.28;02:00:39;20,3;36,2;6,4;540
2021.01.28;02:00:57;20,3;36,1;6,3;522
2021.01.28;02:01:16;20,4;36,2;6,4;524
2021.01.28;02:01:44;20,4;36,3;6,4;542
2021.01.28;02:02:02;20,3;36,2;6,4;520
2021.01.28;02:02:20;20,3;36,0;6,3;533
2021.01.28;02:02:38;20,3;36,0;6,3;525
2021.01.28;02:03:06;20,4;35,7;6,3;529
2021.01.28;02:03:25;20,3;36,1;6,3;523
2021.01.28;02:03:43;20,4;36,0;6,4;522
2021.01.28;02:04:01;20,3;36,0;6,3;526
2021.01.28;02:04:29;20,3;36,3;6,4;529
2021.01.28;02:04:48;20,3;36,1;6,3;525
2021.01.28;02:05:06;20,3;36,0;6,3;527
2021.01.28;02:05:24;20,3;36,0;6,3;530
2021.01.28;02:05:52;20,3;35,7;6,3;526
2021.01.28;02:06:10;20,3;36,2;6,4;522
2021.01.28;02:06:29;20,3;35,9;6,3;523
2021.01.28;02:06:47;20,3;36,0;6,3;521
2021.01.28;02:07:15;20,4;36,4;6,4;525
2021.01.28;02:07:33;20,3;36,1;6,3;522
2021.01.28;02:07:51;20,3;36,0;6,3;522
2021.01.28;02:08:10;20,3;36,0;6,3;525
2021.01.28;02:08:38;20,3;35,4;6,2;528
2021.01.28;02:08:56;20,3;36,1;6,3;515
2021.01.28;02:09:14;20,3;36,0;6,3;522
2021.01.28;02:09:33;20,3;36,0;6,3;526
2021.01.28;02:10:01;20,3;36,3;6,4;515
2021.01.28;02:10:19;20,3;36,1;6,3;517
2021.01.28;02:10:37;20,3;35,8;6,3;523
2021.01.28;02:10:55;20,3;36,0;6,3;516
2021.01.28;02:11:23;20,3;36,2;6,4;516
2021.01.28;02:11:42;20,3;36,2;6,4;534
2021.01.28;02:12:00;20,4;36,2;6,4;523
2021.01.28;02:12:18;20,3;35,9;6,3;514
2021.01.28;02:12:46;20,3;36,3;6,4;521
2021.01.28;02:13:05;20,3;36,1;6,3;520
2021.01.28;02:13:23;20,3;35,9;6,3;519
2021.01.28;02:13:41;20,3;35,9;6,3;518
2021.01.28;02:14:09;20,3;36,1;6,3;512
2021.01.28;02:14:27;20,3;36,0;6,3;529
2021.01.28;02:14:46;20,3;35,9;6,3;515
2021.01.28;02:15:04;20,3;35,8;6,3;521
2021.01.28;02:15:32;20,3;36,2;6,4;514
2021.01.28;02:15:50;20,3;36,0;6,3;532
2021.01.28;02:16:09;20,3;35,9;6,3;523
