Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-PASCO2
2021.01.31;10:02:12;21,6;50,1;9,5;3341
2021.01.31;10:02:30;21,6;50,1;9,5;3342
2021.01.31;10:02:48;21,6;50,0;9,5;3333
2021.01.31;10:03:07;21,6;49,9;9,5;3332
2021.01.31;10:03:35;21,7;49,9;9,5;3331
2021.01.31;10:03:53;21,6;49,6;9,4;3373
2021.01.31;10:04:11;21,7;49,5;9,4;3380
2021.01.31;10:04:30;21,7;49,7;9,5;3387
2021.01.31;10:04:58;21,7;49,8;9,5;3401
2021.01.31;10:05:16;21,7;49,6;9,5;3409
2021.01.31;10:05:34;21,7;49,5;9,4;3411
2021.01.31;10:05:52;21,7;49,5;9,4;3406
2021.01.31;10:06:20;21,8;49,6;9,5;3405
2021.01.31;10:06:39;21,8;49,5;9,5;3418
2021.01.31;10:06:57;21,8;49,4;9,5;3446
2021.01.31;10:07:15;21,8;49,1;9,4;3472
2021.01.31;10:07:43;21,8;48,3;9,3;3424
2021.01.31;10:08:02;21,8;49,5;9,5;3458
2021.01.31;10:08:20;21,8;49,1;9,4;3415
2021.01.31;10:08:38;21,8;49,1;9,4;3408
2021.01.31;10:09:06;21,8;48,7;9,3;3398
2021.01.31;10:09:24;21,8;49,0;9,4;3437
2021.01.31;10:09:43;21,8;48,9;9,4;3452
2021.01.31;10:10:01;21,8;48,9;9,4;3462
2021.01.31;10:10:29;21,9;49,1;9,5;3465
2021.01.31;10:10:47;21,9;49,0;9,5;3426
2021.01.31;10:11:05;21,9;48,8;9,4;3480
2021.01.31;10:11:24;21,9;48,8;9,4;3445
2021.01.31;10:11:52;21,9;48,8;9,4;3494
2021.01.31;10:12:10;21,9;48,8;9,4;3488
2021.01.31;10:12:28;21,9;49,0;9,5;3488
2021.01.31;10:12:47;21,9;48,7;9,4;3472
2021.01.31;10:13:14;21,9;49,0;9,5;3471
2021.01.31;10:13:33;21,9;48,8;9,4;3479
2021.01.31;10:13:51;21,9;48,5;9,4;3468
2021.01.31;10:14:09;21,9;48,5;9,4;3467
2021.01.31;10:14:37;21,9;48,4;9,3;3459
2021.01.31;10:14:56;21,9;48,2;9,3;3454
2021.01.31;10:15:14;21,9;48,1;9,3;3447
2021.01.31;10:15:32;22,0;48,5;9,4;3446
2021.01.31;10:16:00;22,0;48,1;9,3;3434
2021.01.31;10:16:18;22,0;48,1;9,3;3433
2021.01.31;10:16:37;22,0;48,0;9,3;3431
2021.01.31;10:16:55;22,0;47,9;9,3;3440
2021.01.31;10:17:23;22,0;48,3;9,4;3444
2021.01.31;10:17:41;22,0;48,1;9,3;3444
2021.01.31;10:18:00;21,9;47,8;9,2;3430
2021.01.31;10:18:18;22,0;47,9;9,3;3432
2021.01.31;10:18:46;22,0;48,2;9,4;3424
2021.01.31;10:19:04;22,0;47,8;9,3;3443
2021.01.31;10:19:22;22,0;47,7;9,3;3439
2021.01.31;10:19:41;22,1;47,6;9,3;3432
2021.01.31;10:20:09;22,1;47,9;9,4;3452
2021.01.31;10:20:27;22,0;47,7;9,3;3454
2021.01.31;10:20:45;22,0;47,8;9,3;3464
2021.01.31;10:21:04;22,0;47,6;9,2;3461
2021.01.31;10:21:31;22,1;46,7;9,1;3457
2021.01.31;10:21:50;22,0;47,6;9,2;3456
2021.01.31;10:22:08;22,0;47,6;9,2;3462
2021.01.31;10:22:26;22,1;47,6;9,3;3466
2021.01.31;10:22:54;22,1;48,0;9,4;3482
2021.01.31;10:23:13;22,1;47,8;9,3;3478
2021.01.31;10:23:31;22,1;47,6;9,3;3487
2021.01.31;10:23:49;22,1;47,7;9,3;3507
2021.01.31;10:24:17;22,1;48,2;9,4;3532
2021.01.31;10:24:35;22,1;48,5;9,5;3527
2021.01.31;10:24:54;22,1;48,4;9,4;3536
2021.01.31;10:25:12;22,1;48,1;9,4;3518
2021.01.31;10:25:40;22,1;47,9;9,4;3515
2021.01.31;10:25:58;22,1;47,8;9,3;3512
2021.01.31;10:26:17;22,1;47,8;9,3;3509
2021.01.31;10:26:35;22,1;47,7;9,3;3508
