,Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811
2021.01.05;00:33:35;21,2;41,9;7,8;414
2021.01.05;00:33:50;21,2;42,8;7,9;408
2021.01.05;00:34:05;21,1;42,5;7,8;418
2021.01.05;00:34:21;21,2;43,1;8,0;432
2021.01.05;00:34:42;21,2;43,2;8,0;411
2021.01.05;00:34:57;21,2;43,0;8,0;477
2021.01.05;00:35:13;21,2;43,2;8,0;400
2021.01.05;00:35:28;21,1;42,9;7,9;406
2021.01.05;00:35:50;21,1;41,7;7,7;400
2021.01.05;00:36:05;21,1;42,8;7,9;400
2021.01.05;00:36:20;21,1;42,6;7,8;400
2021.01.05;00:36:36;21,1;42,7;7,9;424
2021.01.05;00:36:57;21,2;43,0;8,0;405
2021.01.05;00:37:13;21,1;42,6;7,8;403
2021.01.05;00:37:28;21,1;42,6;7,8;400
2021.01.05;00:37:43;21,1;42,5;7,8;402
2021.01.05;00:38:05;21,1;41,5;7,6;400
2021.01.05;00:38:20;21,1;42,7;7,9;400
2021.01.05;00:38:36;21,1;42,3;7,8;400
2021.01.05;00:38:51;21,1;42,5;7,8;422
2021.01.05;00:39:13;21,1;42,6;7,8;400
2021.01.05;00:39:28;21,1;42,3;7,8;400
2021.01.05;00:39:43;21,1;42,4;7,8;416
2021.01.05;00:39:59;21,1;42,5;7,8;400
2021.01.05;00:40:20;21,2;41,3;7,7;400
2021.01.05;00:40:36;21,1;42,3;7,8;408
2021.01.05;00:40:51;21,1;42,4;7,8;400
2021.01.05;00:41:06;21,1;42,4;7,8;400
2021.01.05;00:41:28;21,1;41,3;7,6;400
2021.01.05;00:41:43;21,1;41,5;7,6;400
2021.01.05;00:41:59;21,1;42,4;7,8;400
2021.01.05;00:42:14;21,1;42,4;7,8;400
2021.01.05;00:42:36;21,1;41,2;7,6;400
2021.01.05;00:42:51;21,1;42,2;7,8;424
2021.01.05;00:43:06;21,1;42,3;7,8;400
2021.01.05;00:43:22;21,1;41,1;7,6;400
2021.01.05;00:43:43;21,1;42,5;7,8;400
2021.01.05;00:43:59;21,1;42,1;7,8;400
2021.01.05;00:44:14;21,1;42,0;7,7;405
2021.01.05;00:44:29;21,1;42,1;7,8;400
2021.01.05;00:44:51;21,1;40,9;7,5;406
2021.01.05;00:45:06;21,1;41,9;7,7;420
2021.01.05;00:45:22;21,1;42,0;7,7;400
2021.01.05;00:45:37;21,1;42,0;7,7;487
2021.01.05;00:45:59;21,1;41,2;7,6;400
2021.01.05;00:46:14;21,0;41,8;7,7;400
2021.01.05;00:46:29;21,0;42,0;7,7;414
2021.01.05;00:46:45;21,1;41,9;7,7;408
2021.01.05;00:47:06;21,0;42,0;7,7;403
2021.01.05;00:47:22;21,0;41,8;7,7;408
2021.01.05;00:47:37;21,1;41,9;7,7;492
2021.01.05;00:47:52;21,1;42,0;7,7;400
2021.01.05;00:48:14;21,1;40,7;7,5;405
2021.01.05;00:48:29;21,1;41,7;7,7;400
2021.01.05;00:48:45;21,0;41,7;7,6;400
2021.01.05;00:49:00;21,1;41,6;7,7;411
2021.01.05;00:49:21;21,1;40,6;7,5;407
2021.01.05;00:49:37;21,1;41,7;7,7;476
2021.01.05;00:49:52;21,1;41,3;7,6;400
2021.01.05;00:50:07;21,1;41,5;7,6;400
2021.01.05;00:50:29;21,0;41,8;7,7;405
2021.01.05;00:50:44;21,1;41,4;7,6;406
2021.01.05;00:51:00;21,0;41,5;7,6;414
2021.01.05;00:51:15;21,1;40,3;7,4;400
2021.01.05;00:51:37;21,0;41,6;7,6;481
2021.01.05;00:51:52;21,1;41,2;7,6;400
2021.01.05;00:52:07;21,1;41,5;7,6;400
2021.01.05;00:52:23;21,1;41,5;7,6;470
2021.01.05;00:52:44;21,0;40,4;7,4;400
2021.01.05;00:53:00;21,0;41,2;7,5;423
2021.01.05;00:53:15;21,0;41,3;7,6;405
2021.01.05;00:53:30;21,0;41,3;7,6;405
2021.01.05;00:53:52;21,1;40,3;7,4;406
2021.01.05;00:54:07;21,1;41,3;7,6;400
2021.01.05;00:54:23;21,0;41,2;7,5;434
2021.01.05;00:54:38;21,1;41,2;7,6;470
2021.01.05;00:55:00;21,1;41,5;7,6;400
2021.01.05;00:55:15;21,0;41,0;7,5;400
2021.01.05;00:55:30;21,0;41,1;7,5;402
2021.01.05;00:55:46;21,0;41,0;7,5;406
2021.01.05;00:56:07;21,0;40,0;7,3;411
2021.01.05;00:56:22;21,1;41,0;7,6;420
2021.01.05;00:56:38;21,0;41,1;7,5;475
2021.01.05;00:56:53;21,0;41,2;7,5;408
2021.01.05;00:57:15;21,0;40,2;7,4;405
2021.01.05;00:57:30;21,0;41,1;7,5;402
2021.01.05;00:57:45;21,0;41,0;7,5;400
2021.01.05;00:58:01;21,0;40,9;7,5;400
2021.01.05;00:58:22;21,0;40,0;7,3;400
2021.01.05;00:58:38;20,9;40,9;7,4;475
2021.01.05;00:58:53;21,0;40,8;7,5;405
2021.01.05;00:59:08;21,0;41,0;7,5;400
2021.01.05;00:59:30;21,0;39,9;7,3;400
2021.01.05;00:59:45;21,0;40,8;7,5;408
2021.01.05;01:00:01;21,0;40,8;7,5;400
2021.01.05;01:00:16;20,9;40,3;7,3;400
2021.01.05;01:00:38;21,0;41,2;7,5;473
2021.01.05;01:00:53;21,0;40,7;7,5;406
2021.01.05;01:01:08;21,0;41,0;7,5;409
2021.01.05;01:01:24;21,0;41,0;7,5;400
2021.01.05;01:01:45;21,0;39,8;7,3;407
2021.01.05;01:02:01;20,9;40,9;7,4;407
